ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Decision Tree,0.9368932038834952,0.9619151757740548,0.9355924118274381,0.9364188282882216,0.9358739191248052,0.9241481183396001
KNN,0.9631067961165048,0.9986308225288071,0.966503808202563,0.9635028568171858,0.9642215046239047,0.9559631120192819
Logistic Regression,0.9859223300970874,0.999450338299878,0.9866141256922812,0.9863918321089887,0.9864856615037118,0.9830717600515156
Naive Bayes,0.7242718446601941,0.9605687923023843,0.7849285826683374,0.7337936694709938,0.7179621579460097,0.6876603871870662
Random Forest,0.9820388349514563,0.9996021177118376,0.9816635167309437,0.9817450501952032,0.9816451590529977,0.9784145725907724
XGBoost,0.9941747572815534,0.9999257772745452,0.9938995256596662,0.9941741441561369,0.9940325835037616,0.9929941628802069
